Student_ID,Gender,Age,Department,Year_of_Study,Attendance_Percentage,Study_Hours_Per_Day,Previous_CGPA,Assignment_Completion_Rate,Online_Resources_Used,Extracurricular_Activities,Sleep_Hours,Family_Income_Category,Internet_Access,Mental_Health_Score,Part_Time_Job,Distance_From_College_KM,Final_Grade,Performance_Score,Predicted_Score,Risk_Category,Attendance_Group,Study_Group
S0146,Male,22,Electrical,2,67.0,5.4,5.71,57.7,No,1,6.8,Low,No,5.1,No,29.4,F,27.4,32.38200000000003,At-Risk,"(60, 75]","(4, 6]"
S0147,Female,21,MBA,4,69.4,2.5,6.93,72.4,Yes,0,5.5,Low,Yes,6.5,Yes,9.6,C,46.6,43.65899999999997,At-Risk,"(60, 75]","(2, 4]"
S0148,Female,21,BBA,3,89.8,3.3,6.53,69.8,Yes,1,5.6,High,Yes,6.0,No,5.6,C,50.3,47.01200000000005,At-Risk,"(75, 90]","(2, 4]"
S0149,Male,22,Civil,2,80.8,6.0,7.79,64.9,No,0,6.8,Low,No,6.4,Yes,29.4,C,57.7,54.76399999999995,At-Risk,"(75, 90]","(4, 6]"
S0150,Male,22,BBA,3,88.6,5.5,8.45,72.2,Yes,1,5.2,High,Yes,8.7,No,5.0,C,58.1,58.220000000000056,At-Risk,"(75, 90]","(4, 6]"
S0151,Female,21,Computer Science,3,77.2,5.0,6.43,66.5,Yes,0,6.8,Medium,Yes,9.6,No,2.0,C,56.6,54.06700000000003,At-Risk,"(75, 90]","(4, 6]"
S0152,Male,22,Electrical,1,78.5,5.6,8.82,75.0,Yes,3,8.5,High,Yes,7.0,No,29.4,C,58.3,57.45400000000005,At-Risk,"(75, 90]","(4, 6]"
S0153,Male,21,Mechanical,1,86.3,8.400000000000002,9.94,95.8,Yes,2,6.6,High,Yes,6.8,No,4.1,B,66.4,64.55099999999995,Average,"(75, 90]","(6, 10]"
S0154,Female,21,Electrical,1,74.5,5.3,6.79,74.9,Yes,0,6.5,Medium,Yes,5.5,No,20.1,C,54.0,51.45699999999998,At-Risk,"(60, 75]","(4, 6]"
S0155,Other,20,Electrical,4,73.9,0.4,4.67,51.1,No,0,7.5,Low,No,8.3,Yes,2.8,D,39.9,36.70300000000003,At-Risk,"(60, 75]","(0, 2]"
S0156,Male,21,Electronics,3,69.1,0.399999999999999,5.01,65.1,Yes,4,7.1,Low,Yes,8.0,Yes,14.1,F,24.9,27.835000000000047,At-Risk,"(60, 75]","(0, 2]"
S0157,Female,18,Electrical,4,72.3,4.6,6.04,54.9,No,2,5.1,Low,Yes,4.6,No,8.4,D,36.7,39.03799999999997,At-Risk,"(60, 75]","(4, 6]"
S0158,Female,22,Electrical,3,65.3,4.7,5.99,56.1,Yes,2,6.0,Medium,Yes,4.9,No,29.4,F,25.9,31.49800000000003,At-Risk,"(60, 75]","(4, 6]"
S0159,Male,22,Civil,2,79.9,5.7,6.93,60.9,No,2,8.8,Low,Yes,9.8,No,9.0,C,49.0,50.022000000000006,At-Risk,"(75, 90]","(4, 6]"
S0160,Female,17,Mechanical,1,73.5,3.0,7.81,69.8,Yes,0,6.9,Low,Yes,4.0,Yes,1.3,C,45.6,43.363999999999976,At-Risk,"(60, 75]","(2, 4]"
S0161,Male,22,Civil,3,64.3,3.0,6.96,56.3,Yes,3,5.3,Medium,Yes,5.6,No,10.3,D,33.7,32.89899999999997,At-Risk,"(60, 75]","(2, 4]"
S0162,Female,18,Civil,3,74.7,2.8,7.64,53.1,Yes,0,6.3,High,Yes,7.0,No,2.6,D,33.9,36.57500000000005,At-Risk,"(60, 75]","(2, 4]"
S0163,Female,19,Computer Science,4,67.8,2.2,6.47,67.2,Yes,2,4.4,Low,Yes,4.7,Yes,17.0,F,16.5,24.042999999999996,At-Risk,"(60, 75]","(2, 4]"
S0164,Female,21,Civil,1,94.5,5.3,8.97,78.4,No,3,4.3,Low,No,8.6,No,20.4,C,56.5,58.51700000000001,At-Risk,"(90, 100]","(4, 6]"
S0165,Male,18,Electronics,2,71.7,2.8,5.74,56.8,No,0,7.7,Low,No,9.2,No,7.6,D,41.4,38.901000000000025,At-Risk,"(60, 75]","(2, 4]"
S0166,Female,22,Electronics,3,58.9,4.4,6.26,59.8,No,3,6.5,High,Yes,4.2,No,16.3,D,33.5,32.177,At-Risk,"(0, 60]","(4, 6]"
S0167,Male,22,BBA,3,78.3,3.6,6.95,61.0,No,0,7.1,Medium,Yes,5.4,Yes,2.6,C,52.1,49.957000000000015,At-Risk,"(75, 90]","(2, 4]"
S0168,Male,20,Computer Science,2,79.8,3.5,5.9,70.4,Yes,3,7.9,Low,Yes,8.4,No,7.8,C,46.2,44.65399999999996,At-Risk,"(75, 90]","(2, 4]"
S0169,Male,17,BBA,3,86.0,4.7,8.05,85.3,Yes,4,6.9,Low,Yes,4.9,Yes,6.0,D,40.3,52.856000000000016,At-Risk,"(75, 90]","(4, 6]"
S0170,Female,19,BBA,1,76.3,5.4,5.45,50.4,No,0,7.4,Low,No,6.0,No,10.4,D,31.6,33.584999999999944,At-Risk,"(75, 90]","(4, 6]"
S0171,Female,20,MBA,3,63.4,2.1,5.29,56.0,No,0,6.8,Low,No,3.3,Yes,1.5,C,49.3,41.27000000000005,At-Risk,"(60, 75]","(2, 4]"
S0172,Male,25,Mechanical,3,80.4,4.8,8.95,66.8,Yes,3,8.0,High,Yes,7.7,No,14.9,B,63.0,59.549000000000014,At-Risk,"(75, 90]","(4, 6]"
S0173,Female,20,Mechanical,4,76.3,4.5,5.79,62.8,Yes,2,8.6,Medium,Yes,8.9,No,1.8,C,47.4,46.97000000000002,At-Risk,"(75, 90]","(4, 6]"
S0174,Male,19,Civil,4,88.6,5.2,8.05,70.9,Yes,2,6.7,Medium,Yes,6.6,Yes,11.7,C,49.5,51.673,At-Risk,"(75, 90]","(4, 6]"
S0175,Female,20,Civil,2,74.8,3.8,6.15,58.5,Yes,2,6.7,High,Yes,9.3,No,1.2,D,44.4,41.412,At-Risk,"(60, 75]","(2, 4]"
S0176,Male,20,MBA,1,69.8,2.0,6.8,54.8,Yes,2,6.9,Low,Yes,3.8,Yes,18.8,D,43.2,40.42399999999996,At-Risk,"(60, 75]","(0, 2]"
S0177,Female,21,Civil,4,70.2,2.4,5.68,51.6,Yes,2,6.4,Medium,Yes,4.6,No,2.9,D,39.6,37.38199999999997,At-Risk,"(60, 75]","(2, 4]"
S0178,Male,18,Mechanical,2,66.7,4.4,5.59,57.6,Yes,1,6.0,High,Yes,5.8,No,8.2,D,32.0,33.485,At-Risk,"(60, 75]","(4, 6]"
S0179,Female,21,BBA,4,79.6,4.9,8.58,76.0,Yes,2,7.8,Medium,Yes,4.3,No,4.0,B,64.4,59.07099999999994,At-Risk,"(75, 90]","(4, 6]"
S0180,Male,20,Electrical,1,75.6,3.5,6.17,64.3,Yes,1,6.0,Medium,No,5.8,No,13.8,F,28.9,34.53400000000002,At-Risk,"(75, 90]","(2, 4]"
S0181,Male,24,Electronics,3,70.7,5.4,8.16,64.3,No,1,6.0,Low,Yes,5.4,No,4.9,D,34.4,38.30500000000004,At-Risk,"(60, 75]","(4, 6]"
S0182,Male,19,Electrical,3,86.9,6.1,8.08,64.7,No,0,7.6,Low,No,8.7,No,13.9,C,48.6,53.20800000000004,At-Risk,"(75, 90]","(6, 10]"
S0183,Female,20,Electrical,4,86.2,5.3,7.71,63.3,Yes,2,7.7,Low,Yes,9.0,No,4.4,B,61.7,60.41699999999994,Average,"(75, 90]","(4, 6]"
S0184,Female,23,Mechanical,2,76.3,3.1,5.07,57.2,Yes,0,9.3,Medium,No,7.9,No,15.0,D,33.7,36.24199999999996,At-Risk,"(75, 90]","(2, 4]"
S0185,Male,18,Electrical,3,70.8,3.9,6.13,66.9,Yes,0,8.0,Medium,Yes,6.5,Yes,1.3,F,24.8,40.03699999999999,At-Risk,"(60, 75]","(2, 4]"
S0186,Female,23,MBA,2,75.5,4.5,8.64,73.2,Yes,3,7.5,High,Yes,7.2,Yes,4.3,C,46.7,48.326999999999956,At-Risk,"(75, 90]","(4, 6]"
S0187,Female,21,Computer Science,1,74.8,5.6,8.32,78.4,Yes,4,7.7,Medium,Yes,5.9,No,7.9,C,45.7,46.65299999999995,At-Risk,"(60, 75]","(4, 6]"
S0188,Female,18,Civil,3,84.1,7.4,7.72,76.3,Yes,0,6.3,High,Yes,5.7,No,1.5,C,55.8,56.52000000000007,At-Risk,"(75, 90]","(6, 10]"
S0189,Female,19,Computer Science,3,78.7,5.8,7.26,75.5,Yes,3,7.2,High,Yes,7.3,No,3.1,C,55.8,52.717000000000056,At-Risk,"(75, 90]","(4, 6]"
S0190,Male,21,BBA,4,76.5,2.6,6.66,58.8,No,1,7.2,Low,No,6.4,Yes,28.3,C,48.6,45.52399999999999,At-Risk,"(75, 90]","(2, 4]"
S0191,Male,18,Electronics,2,68.2,3.7,7.99,79.9,Yes,1,5.8,Medium,Yes,5.5,No,29.4,D,39.5,40.54399999999999,At-Risk,"(60, 75]","(2, 4]"
S0192,Female,20,Civil,1,69.3,4.4,5.66,46.3,Yes,0,6.4,Low,Yes,6.0,No,14.5,F,27.8,33.30400000000002,At-Risk,"(60, 75]","(4, 6]"
S0193,Female,19,Electrical,1,75.1,4.4,6.27,73.3,Yes,1,7.6,Medium,No,4.7,Yes,3.9,C,48.1,46.43899999999998,At-Risk,"(75, 90]","(4, 6]"
S0194,Female,20,Electronics,2,75.1,5.9,6.9,70.6,Yes,0,6.5,High,Yes,5.4,No,4.0,C,46.6,47.486999999999995,At-Risk,"(75, 90]","(4, 6]"
S0195,Male,17,Civil,2,86.3,4.7,7.16,79.4,Yes,0,7.2,Low,No,8.4,No,11.4,C,51.3,52.086000000000055,At-Risk,"(75, 90]","(4, 6]"
S0196,Male,22,MBA,3,76.3,1.9,4.95,57.9,Yes,0,7.6,Medium,Yes,3.4,Yes,2.3,F,19.6,26.704999999999973,At-Risk,"(75, 90]","(0, 2]"
S0197,Female,24,MBA,2,62.8,3.8,5.5,64.2,No,0,7.5,Medium,No,6.4,No,29.4,F,24.8,27.063000000000017,At-Risk,"(60, 75]","(2, 4]"
S0198,Female,24,MBA,4,86.4,3.9,6.86,62.6,No,2,8.6,Medium,Yes,10.0,No,3.5,C,56.5,54.970000000000006,At-Risk,"(75, 90]","(2, 4]"
S0199,Female,21,MBA,4,68.2,4.3,7.34,63.2,Yes,2,5.8,Medium,Yes,5.5,No,29.4,D,34.7,40.13,At-Risk,"(60, 75]","(4, 6]"
S0200,Female,18,Electrical,3,87.2,5.8,8.77,90.3,Yes,1,8.5,Medium,Yes,7.6,No,7.8,B,68.3,59.96199999999998,At-Risk,"(75, 90]","(4, 6]"
S0201,Female,21,Computer Science,4,72.9,4.5,6.52,47.6,No,3,7.1,Low,No,10.0,No,15.8,C,46.1,43.45799999999996,At-Risk,"(60, 75]","(4, 6]"
S0202,Male,17,Civil,3,76.8,1.8,5.37,50.3,No,2,7.5,Low,Yes,7.1,Yes,1.0,F,28.7,29.963999999999984,At-Risk,"(75, 90]","(0, 2]"
S0203,Male,17,Electrical,2,80.6,7.9,6.96,83.8,No,2,7.3,Low,No,7.9,No,23.0,B,64.3,60.770000000000074,Average,"(75, 90]","(6, 10]"
S0204,Female,19,MBA,1,81.4,6.0,8.56,72.9,No,0,7.3,Medium,Yes,5.7,No,4.1,C,45.7,48.63399999999996,At-Risk,"(75, 90]","(4, 6]"
S0205,Female,20,BBA,2,71.4,2.7,5.45,53.6,No,1,5.7,Low,Yes,6.4,No,12.0,F,22.0,28.13699999999999,At-Risk,"(60, 75]","(2, 4]"
S0206,Male,21,Computer Science,2,83.7,6.6,8.04,63.9,No,0,7.5,High,No,6.0,No,17.4,C,55.1,55.132,At-Risk,"(75, 90]","(6, 10]"
S0207,Male,21,BBA,4,77.0,7.2,7.92,82.5,Yes,1,4.8,Medium,Yes,7.5,No,2.8,C,48.8,50.25700000000007,At-Risk,"(75, 90]","(6, 10]"
S0208,Female,20,Electronics,2,88.4,8.2,6.19,69.7,Yes,3,9.0,Medium,No,9.6,No,6.8,C,58.4,59.25799999999994,At-Risk,"(75, 90]","(6, 10]"
S0209,Male,19,BBA,4,78.2,5.1,5.62,54.0,No,2,7.0,Medium,No,7.4,No,7.8,D,31.8,45.599999999999994,At-Risk,"(75, 90]","(4, 6]"
S0210,Male,25,Electronics,3,76.3,3.4,6.74,49.3,No,2,7.9,Medium,No,8.0,No,4.7,C,46.7,46.91400000000001,At-Risk,"(75, 90]","(2, 4]"
S0211,Female,20,Electronics,1,76.3,2.9,6.73,64.6,Yes,1,7.3,High,Yes,3.1,Yes,7.6,D,42.0,39.2,At-Risk,"(75, 90]","(2, 4]"
S0212,Female,20,MBA,4,75.2,8.0,7.76,67.5,No,0,6.5,Low,No,1.8,No,4.8,C,53.6,51.88099999999999,At-Risk,"(75, 90]","(6, 10]"
S0213,Female,18,Electronics,2,76.9,2.1,6.96,70.3,Yes,0,5.9,Low,Yes,6.0,Yes,5.5,D,30.2,34.23099999999996,At-Risk,"(75, 90]","(2, 4]"
S0214,Male,21,Mechanical,2,70.8,3.4,6.9,62.2,No,2,5.6,Medium,Yes,1.3,No,12.1,F,24.4,42.007999999999974,At-Risk,"(60, 75]","(2, 4]"
S0215,Female,21,Civil,3,73.1,2.3,6.39,54.8,No,5,7.4,Low,No,7.1,Yes,11.0,D,38.4,36.42700000000004,At-Risk,"(60, 75]","(2, 4]"
S0216,Male,19,Civil,1,67.4,2.3,4.79,51.5,No,1,7.4,Low,No,7.0,No,3.6,F,28.0,31.447000000000017,At-Risk,"(60, 75]","(2, 4]"
S0217,Male,18,MBA,3,93.6,5.3,9.94,97.6,Yes,2,7.2,Medium,Yes,8.7,Yes,23.8,B,62.9,62.33099999999994,Average,"(90, 100]","(4, 6]"
S0218,Female,21,Mechanical,2,68.8,4.6,7.36,62.8,Yes,2,6.4,Low,No,5.7,No,20.9,D,37.6,38.918999999999954,At-Risk,"(60, 75]","(4, 6]"
S0219,Female,21,BBA,2,93.2,7.1,8.91,80.6,Yes,1,7.0,Medium,Yes,6.0,No,8.1,B,64.6,60.61599999999998,Average,"(90, 100]","(6, 10]"
S0220,Female,19,Electrical,4,72.9,0.9,6.06,54.5,No,1,6.0,Low,Yes,4.6,Yes,6.7,D,37.7,36.64299999999997,At-Risk,"(60, 75]","(0, 2]"
S0221,Female,24,BBA,2,83.7,6.5,8.52,75.7,Yes,1,5.7,High,Yes,7.9,No,5.7,C,59.3,58.08900000000006,At-Risk,"(75, 90]","(6, 10]"
S0222,Female,18,Electrical,1,76.8,3.7,5.83,65.3,No,1,6.2,Medium,Yes,3.1,No,13.3,C,45.5,40.207999999999984,At-Risk,"(75, 90]","(2, 4]"
S0223,Male,20,Electronics,2,70.6,6.0,8.36,78.4,Yes,2,6.2,Medium,Yes,1.7,No,12.1,D,40.0,41.577,At-Risk,"(60, 75]","(4, 6]"
S0224,Male,23,Computer Science,4,82.1,6.6,7.71,76.9,No,1,8.3,Medium,Yes,7.2,No,3.2,B,67.5,63.237000000000016,Average,"(75, 90]","(6, 10]"
S0225,Male,20,Electrical,1,76.4,7.3,9.06,89.2,No,1,4.9,High,Yes,3.3,No,12.1,B,60.3,57.18700000000006,At-Risk,"(75, 90]","(6, 10]"
S0226,Male,20,Computer Science,1,79.0,5.7,7.07,63.9,No,0,6.5,Low,No,5.7,No,3.9,C,52.9,51.36299999999999,At-Risk,"(75, 90]","(4, 6]"
S0227,Other,19,Civil,1,71.7,3.3,5.62,60.0,Yes,2,7.3,High,Yes,6.6,No,1.2,F,27.9,31.154000000000018,At-Risk,"(60, 75]","(2, 4]"
S0228,Male,19,Computer Science,1,71.2,3.3,7.29,76.5,Yes,2,8.9,Medium,Yes,7.6,Yes,13.0,D,38.6,37.96499999999996,At-Risk,"(60, 75]","(2, 4]"
S0229,Female,25,Civil,3,77.8,7.0,7.11,70.6,Yes,0,5.8,Medium,Yes,3.9,No,11.4,B,66.4,60.712999999999944,Average,"(75, 90]","(6, 10]"
S0230,Female,20,Mechanical,3,73.8,4.8,7.17,69.0,Yes,1,5.2,Medium,Yes,6.6,No,6.3,D,33.6,37.25999999999996,At-Risk,"(60, 75]","(4, 6]"
S0231,Female,22,Mechanical,2,84.4,5.4,7.81,65.9,No,4,7.4,Low,No,8.9,No,8.5,B,64.0,62.35999999999999,Average,"(75, 90]","(4, 6]"
S0232,Female,19,MBA,3,65.1,0.5,5.76,63.4,Yes,1,6.7,Medium,Yes,4.6,Yes,29.4,D,39.8,36.33100000000005,At-Risk,"(60, 75]","(0, 2]"
S0233,Female,19,MBA,2,74.0,4.9,5.42,72.0,Yes,1,6.2,Medium,Yes,6.7,No,10.0,C,51.6,49.43600000000001,At-Risk,"(60, 75]","(4, 6]"
S0234,Female,17,Electronics,4,81.6,1.9,6.37,63.6,No,1,7.0,Low,No,4.7,Yes,11.7,F,27.4,30.273000000000035,At-Risk,"(75, 90]","(0, 2]"
S0235,Male,21,Electrical,4,83.9,4.3,8.3,82.0,Yes,3,7.5,Medium,Yes,6.6,No,1.7,C,47.5,49.812000000000005,At-Risk,"(75, 90]","(4, 6]"
S0236,Female,19,Electronics,2,76.3,3.5,7.68,71.5,No,2,7.4,Low,No,4.1,Yes,2.8,C,53.3,46.60200000000002,At-Risk,"(75, 90]","(2, 4]"
S0237,Male,22,Civil,4,76.3,7.6,6.96,90.0,Yes,2,6.9,Low,No,10.0,No,4.6,C,54.3,53.38900000000007,At-Risk,"(75, 90]","(6, 10]"
S0238,Male,20,Electronics,3,97.6,7.0,9.55,83.7,Yes,1,8.1,Low,No,9.5,No,8.8,A,75.3,63.79300000000001,Average,"(90, 100]","(6, 10]"
S0239,Female,24,Computer Science,2,79.2,2.3,7.63,72.6,Yes,0,6.7,Low,Yes,8.0,Yes,16.0,C,50.1,47.97199999999999,At-Risk,"(75, 90]","(2, 4]"
S0240,Male,18,Civil,1,69.6,2.0,6.74,54.3,No,0,6.6,Medium,No,8.0,No,4.9,F,24.7,29.34599999999999,At-Risk,"(60, 75]","(0, 2]"
S0241,Female,22,MBA,2,76.7,5.6,6.74,58.0,Yes,1,7.4,Low,Yes,6.1,No,5.4,D,35.7,41.206999999999944,At-Risk,"(75, 90]","(4, 6]"
S0242,Female,21,Mechanical,3,69.9,3.3,6.79,58.7,No,1,5.0,High,Yes,2.2,Yes,4.0,C,48.2,44.328999999999944,At-Risk,"(60, 75]","(2, 4]"
S0243,Female,21,MBA,4,79.6,4.4,6.2,73.9,Yes,1,7.2,Medium,Yes,6.5,No,3.9,C,55.1,50.275999999999996,At-Risk,"(75, 90]","(4, 6]"
S0244,Male,22,Electrical,3,66.2,6.1,7.32,76.8,Yes,3,6.1,Low,Yes,5.9,Yes,29.4,C,46.6,45.78799999999999,At-Risk,"(60, 75]","(6, 10]"
S0245,Male,21,Civil,4,73.7,3.9,7.43,76.9,Yes,2,4.9,Medium,Yes,4.5,Yes,11.1,D,44.0,41.79499999999997,At-Risk,"(60, 75]","(2, 4]"
S0246,Female,20,Civil,3,73.3,3.9,9.31,73.7,No,4,7.0,High,Yes,2.5,Yes,2.7,D,42.9,42.08100000000003,At-Risk,"(60, 75]","(2, 4]"
S0247,Male,18,Computer Science,4,72.7,6.6,6.96,71.3,Yes,1,6.0,Medium,Yes,7.1,No,13.8,D,35.8,40.269000000000034,At-Risk,"(60, 75]","(6, 10]"
S0248,Other,17,Electrical,3,64.5,4.4,5.87,61.5,No,1,4.6,Low,No,2.1,Yes,13.8,D,36.2,31.53100000000001,At-Risk,"(60, 75]","(4, 6]"
S0249,Other,23,Mechanical,2,69.0,4.2,5.74,81.2,Yes,5,5.5,High,Yes,5.0,No,12.0,D,43.4,42.15900000000002,At-Risk,"(60, 75]","(4, 6]"
S0250,Female,20,BBA,2,83.8,4.8,7.53,79.4,Yes,0,8.5,Medium,Yes,10.0,No,2.4,B,63.0,55.513000000000005,At-Risk,"(75, 90]","(4, 6]"
S0251,Male,21,Civil,3,73.6,4.3,7.55,67.8,Yes,5,5.8,Low,No,5.9,No,6.2,D,40.9,41.23500000000002,At-Risk,"(60, 75]","(4, 6]"
S0252,Male,20,Civil,1,93.7,5.8,8.95,74.0,No,3,6.9,Low,No,7.7,No,2.1,C,55.0,56.79699999999998,At-Risk,"(90, 100]","(4, 6]"
S0253,Female,18,Computer Science,3,76.1,6.4,6.78,63.1,No,0,5.2,Medium,No,6.4,No,18.0,C,47.1,46.88899999999999,At-Risk,"(75, 90]","(6, 10]"
S0254,Male,18,Electronics,1,67.0,3.7,6.8,65.3,No,0,9.0,Low,Yes,5.5,No,11.6,C,46.2,43.16799999999996,At-Risk,"(60, 75]","(2, 4]"
S0255,Male,21,Mechanical,2,73.8,4.4,4.34,50.7,No,2,6.6,High,Yes,7.1,No,8.1,C,52.1,45.25799999999998,At-Risk,"(60, 75]","(4, 6]"
S0256,Female,20,MBA,3,71.0,0.399999999999999,5.98,67.9,Yes,0,5.7,Medium,Yes,5.7,No,5.2,D,32.4,33.59700000000005,At-Risk,"(60, 75]","(0, 2]"
S0257,Female,19,Electrical,1,83.0,6.8,7.91,77.0,No,1,7.6,High,Yes,4.6,No,3.0,C,53.9,54.263999999999996,At-Risk,"(75, 90]","(6, 10]"
S0258,Female,20,Civil,1,76.1,4.4,7.12,58.8,Yes,1,9.0,Medium,Yes,4.3,No,2.1,C,47.9,47.605999999999995,At-Risk,"(75, 90]","(4, 6]"
S0259,Female,18,Civil,2,71.7,2.9,7.34,71.2,Yes,1,6.0,Low,Yes,5.7,Yes,29.4,D,37.2,36.751999999999946,At-Risk,"(60, 75]","(2, 4]"
S0260,Male,20,MBA,4,81.4,3.8,7.93,72.3,No,1,5.7,Low,No,8.9,Yes,3.2,B,71.4,46.736000000000004,At-Risk,"(75, 90]","(2, 4]"
S0261,Female,19,Mechanical,1,74.3,5.4,8.01,68.8,Yes,1,9.3,Medium,Yes,5.4,No,1.6,D,32.9,50.75199999999999,At-Risk,"(60, 75]","(4, 6]"
S0262,Other,21,Electronics,4,66.4,1.7,6.88,58.1,No,0,6.4,Medium,No,3.3,Yes,29.4,C,51.6,34.59400000000001,At-Risk,"(60, 75]","(0, 2]"
S0263,Male,19,Civil,1,73.5,6.8,6.96,68.7,Yes,1,6.2,Medium,Yes,6.5,No,9.0,C,51.1,48.06900000000002,At-Risk,"(60, 75]","(6, 10]"
S0264,Female,20,Mechanical,4,77.6,4.9,7.33,80.6,Yes,0,3.9,Low,Yes,3.4,No,16.9,C,51.0,49.99999999999999,At-Risk,"(75, 90]","(4, 6]"
S0265,Female,17,MBA,4,91.3,4.4,9.47,81.1,No,2,6.5,Low,Yes,9.2,Yes,1.4,C,47.9,50.257999999999996,At-Risk,"(90, 100]","(4, 6]"
S0266,Female,18,Computer Science,2,81.7,6.3,8.71,66.8,Yes,1,4.9,Low,Yes,4.2,No,9.4,C,48.5,50.23600000000001,At-Risk,"(75, 90]","(6, 10]"
S0267,Female,19,Electronics,2,73.4,3.7,6.66,69.9,No,1,5.8,Medium,Yes,4.9,No,6.1,D,42.6,43.34199999999996,At-Risk,"(60, 75]","(2, 4]"
S0268,Female,20,Electrical,2,70.0,4.3,6.09,59.2,No,1,4.1,Low,Yes,4.4,No,15.8,C,48.5,43.60100000000001,At-Risk,"(60, 75]","(4, 6]"
S0269,Male,20,Civil,3,69.2,3.1,6.56,51.6,No,2,8.0,Medium,No,9.0,No,1.4,D,44.9,40.86400000000004,At-Risk,"(60, 75]","(2, 4]"
S0270,Male,19,Mechanical,1,83.3,4.0,7.16,79.0,Yes,1,4.7,Medium,Yes,9.7,No,6.1,B,67.0,59.96,At-Risk,"(75, 90]","(2, 4]"
S0271,Female,21,Computer Science,1,80.5,5.2,6.3,56.4,Yes,2,4.2,High,No,4.5,No,17.0,C,46.1,46.23499999999999,At-Risk,"(75, 90]","(4, 6]"
S0272,Female,22,Electrical,1,94.1,4.2,9.84,84.0,No,1,5.4,Low,No,6.6,Yes,8.4,B,61.5,58.778999999999996,At-Risk,"(90, 100]","(4, 6]"
S0273,Female,21,BBA,2,71.6,5.5,4.73,55.5,No,2,8.0,Low,Yes,4.9,No,9.0,D,40.0,39.25500000000001,At-Risk,"(60, 75]","(4, 6]"
S0274,Female,17,Mechanical,1,71.4,3.6,6.28,60.9,No,3,6.0,Medium,Yes,6.7,Yes,2.0,F,29.1,32.83499999999995,At-Risk,"(60, 75]","(2, 4]"
S0275,Female,20,Mechanical,3,76.3,4.5,5.87,59.6,Yes,1,6.1,Medium,Yes,8.2,Yes,2.4,D,36.7,39.51899999999995,At-Risk,"(75, 90]","(4, 6]"
S0276,Female,18,Electrical,4,86.1,5.9,7.49,61.7,No,2,7.1,Low,Yes,9.9,No,12.3,C,52.1,54.54600000000003,At-Risk,"(75, 90]","(4, 6]"
S0277,Female,19,Computer Science,2,80.3,3.2,6.76,56.8,Yes,0,6.3,High,Yes,6.0,No,12.2,D,43.6,43.59899999999999,At-Risk,"(75, 90]","(2, 4]"
S0278,Female,25,BBA,2,69.5,4.2,7.35,87.4,Yes,3,8.0,High,Yes,4.6,Yes,29.4,D,40.2,41.617,At-Risk,"(60, 75]","(4, 6]"
S0279,Female,18,MBA,2,74.7,1.9,7.07,76.7,No,2,6.2,Low,No,5.0,Yes,13.4,D,42.1,41.05099999999996,At-Risk,"(60, 75]","(0, 2]"
S0280,Female,20,Computer Science,4,72.1,4.8,8.07,68.7,No,0,6.2,Low,Yes,5.2,No,7.8,D,38.3,41.55100000000003,At-Risk,"(60, 75]","(4, 6]"
S0281,Female,20,Electronics,4,64.1,4.0,6.93,53.8,No,5,9.2,Medium,Yes,6.5,No,20.5,D,34.8,35.795000000000044,At-Risk,"(60, 75]","(2, 4]"
S0282,Male,21,Civil,4,79.3,3.7,7.74,68.3,Yes,3,6.6,Medium,Yes,5.4,Yes,2.1,C,52.0,46.31500000000001,At-Risk,"(75, 90]","(2, 4]"
S0283,Male,20,Electrical,4,76.4,3.9,6.65,53.6,No,2,6.8,Low,No,5.7,No,7.0,C,49.9,46.625,At-Risk,"(75, 90]","(2, 4]"
S0284,Male,17,MBA,1,69.9,2.8,5.09,61.1,No,2,6.2,Medium,Yes,7.1,No,4.4,C,49.6,42.840999999999966,At-Risk,"(60, 75]","(2, 4]"
S0285,Female,19,BBA,4,75.1,6.9,6.57,68.6,Yes,2,3.6,Medium,Yes,7.1,No,2.1,D,41.7,43.71099999999995,At-Risk,"(75, 90]","(6, 10]"
S0286,Male,20,Electrical,3,78.6,3.5,6.55,59.3,No,3,7.5,Low,No,6.0,Yes,15.4,D,35.8,38.919000000000054,At-Risk,"(75, 90]","(2, 4]"
S0287,Male,18,Electrical,1,57.5,4.3,5.81,52.3,No,1,8.5,Medium,No,8.1,No,8.1,F,23.2,28.268,At-Risk,"(0, 60]","(4, 6]"
S0288,Female,19,Computer Science,4,83.8,5.7,7.81,73.2,Yes,1,8.0,High,Yes,9.7,No,9.1,C,53.6,56.18400000000003,At-Risk,"(75, 90]","(4, 6]"
S0289,Male,17,Civil,1,71.7,2.8,6.96,52.5,Yes,1,5.8,Low,Yes,4.0,Yes,6.3,D,38.6,37.39099999999996,At-Risk,"(60, 75]","(2, 4]"
S0290,Female,18,Electronics,3,69.1,4.4,6.47,61.0,Yes,3,6.3,Low,Yes,5.0,Yes,7.2,F,28.0,33.13199999999999,At-Risk,"(60, 75]","(4, 6]"
S0291,Male,19,Mechanical,1,76.3,6.6,7.52,54.7,No,1,6.9,Medium,Yes,3.9,No,2.2,B,62.6,48.827999999999996,At-Risk,"(75, 90]","(6, 10]"
S0292,Male,18,Mechanical,2,78.2,5.0,7.66,79.9,Yes,4,6.9,High,Yes,6.7,No,12.2,D,42.9,45.87500000000002,At-Risk,"(75, 90]","(4, 6]"
